Name,HR,R,RBI,SB,AVG
Mike Trout,44,116,113,11,0.29
Juan Soto,35,107,107,11,0.299
Freddie Freeman,31,103,102,7,0.3
Christian Yelich,35,105,103,18,0.285
Bryce Harper,35,102,102,13,0.267
Mookie Betts,33,111,102,20,0.292
Cody Bellinger,38,106,108,14,0.278
Alex Bregman,31,99,97,5,0.277
Ronald Acuna Jr.,36,112,99,30,0.28
Aaron Judge,35,90,87,4,0.257
Anthony Rendon,29,93,92,2,0.282
Yordan Alvarez,30,82,92,3,0.276
George Springer,32,95,89,5,0.275
Fernando Tatis Jr.,36,106,102,25,0.276
Jose Ramirez,33,97,94,24,0.273
Trevor Story,33,102,96,25,0.279
Eugenio Suarez,43,99,110,3,0.257
Marcell Ozuna,34,93,99,4,0.28
Vladimir Guerrero Jr.,24,86,85,3,0.293
Xander Bogaerts,27,90,85,7,0.289
Giancarlo Stanton,37,87,90,3,0.252
J.D. Martinez,30,87,90,2,0.277
Anthony Rizzo,27,91,92,7,0.266
Luke Voit,33,87,87,0,0.263
Justin Turner,20,77,76,2,0.282
Jesse Winker,22,69,68,2,0.269
Charlie Blackmon,22,80,81,6,0.289
Corey Seager,28,92,97,2,0.282
Eloy Jimenez,33,85,99,1,0.281
Paul Goldschmidt,26,89,83,5,0.268
Josh Donaldson,26,82,73,3,0.246
Rhys Hoskins,30,85,87,3,0.239
Max Muncy,29,84,83,3,0.241
Manny Machado,36,91,107,9,0.271
Gleyber Torres,29,88,87,6,0.274
Kris Bryant,25,84,85,3,0.258
C.J. Cron,28,72,83,1,0.27
Michael Conforto,29,89,88,6,0.258
Pete Alonso,37,86,100,2,0.248
Kyle Schwarber,30,73,84,3,0.242
Nicholas Castellanos,29,87,92,3,0.272
Rafael Devers,29,89,89,6,0.275
Nolan Arenado,33,84,98,2,0.269
Randy Arozarena,26,87,81,19,0.267
Nelson Cruz,32,76,87,1,0.259
DJ LeMahieu,19,89,76,5,0.297
Shohei Ohtani,21,73,63,14,0.264
Jose Abreu,31,85,96,2,0.276
Trea Turner,21,99,79,35,0.287
Josh Bell,27,78,85,2,0.262
Jose Altuve,22,92,83,14,0.285
Ketel Marte,19,86,81,8,0.287
Jorge Soler,31,78,90,2,0.245
Bo Bichette,21,92,79,20,0.286
Joey Gallo,38,85,94,6,0.215
Brandon Nimmo,14,65,51,5,0.249
Mike Moustakas,36,84,97,2,0.253
Joey Votto,20,86,77,3,0.257
Tommy Pham,18,77,65,17,0.264
J.T. Realmuto,24,75,76,8,0.269
Andrew McCutchen,22,78,74,8,0.254
Brandon Lowe,26,74,78,6,0.248
Ozzie Albies,23,91,86,16,0.28
Max Kepler,26,83,78,5,0.248
Daniel Vogelbach,7,19,21,0,0.237
Wander Franco,10,51,49,7,0.289
Yasmani Grandal,25,72,72,2,0.231
Matt Olson,33,79,89,2,0.234
Eddie Rosario,26,67,81,5,0.277
Aaron Hicks,23,80,68,6,0.242
Brandon Belt,19,70,66,3,0.245
Marcus Semien,25,87,80,10,0.262
Matt Chapman,33,83,88,1,0.239
Greg Bird,5,15,17,0,0.242
A.J. Pollock,27,81,83,11,0.26
Jeff McNeil,17,83,78,7,0.281
Will Smith,19,54,58,2,0.242
Trey Mancini,22,67,66,1,0.265
Austin Meadows,21,66,66,11,0.254
Franmil Reyes,31,80,94,0,0.252
Mitch Haniger,24,72,71,5,0.246
Mark Canha,21,75,68,4,0.242
Francisco Lindor,29,91,91,19,0.266
Alex Dickerson,16,59,60,2,0.261
Alex Verdugo,14,74,65,6,0.28
Willson Contreras,17,57,57,3,0.255
Yoan Moncada,23,84,76,10,0.253
Yasiel Puig,14,44,40,9,0.256
Alejandro Kirk,7,28,27,1,0.269
Keston Hiura,27,80,87,11,0.257
Cavan Biggio,21,83,68,10,0.235
Joc Pederson,27,72,81,3,0.231
Brad Miller,12,37,37,2,0.239
Kole Calhoun,20,61,63,3,0.243
Nolan Jones,1,4,4,0,0.247
Yandy Diaz,9,55,47,2,0.272
Teoscar Hernandez,34,88,92,9,0.241
Michael Brantley,15,75,72,4,0.279
J.D. Davis,15,54,55,1,0.259
Bryan Reynolds,17,69,70,5,0.266
Wilmer Flores,11,35,41,1,0.271
Miguel Sano,36,84,94,1,0.22
Rowdy Tellez,20,55,60,2,0.249
Carlos Correa,24,82,86,3,0.257
Salvador Perez,28,60,84,1,0.257
Trent Grisham,21,83,74,13,0.242
Wil Myers,28,86,84,17,0.242
Luis Arraez,4,63,53,4,0.302
Ian Happ,24,78,78,8,0.238
Yoenis Cespedes,14,34,39,2,0.241
Colton Welker,2,8,9,0,0.284
Travis d'Arnaud,18,57,60,2,0.26
Dominic Smith,21,69,75,2,0.258
Randal Grichuk,20,53,58,2,0.248
Ji-Man Choi,16,55,56,2,0.24
Christian Walker,23,71,76,5,0.25
Chris Taylor,17,75,65,8,0.256
Brian Anderson,22,78,79,3,0.253
Ryan Braun,10,34,33,5,0.26
Tim Anderson,22,87,81,21,0.283
Carlos Santana,20,72,72,2,0.235
Cesar Hernandez,10,67,55,6,0.276
Gary Sanchez,22,51,56,1,0.222
Hunter Renfroe,26,60,66,3,0.233
Jesus Aguilar,20,59,67,0,0.248
Whit Merrifield,15,82,74,24,0.282
Anthony Santander,26,73,77,4,0.257
Jonathan Schoop,22,62,70,2,0.262
Mike Brosseau,5,19,19,2,0.255
Hunter Dozier,22,74,77,5,0.246
Kyle Tucker,25,90,83,22,0.25
Asdrubal Cabrera,10,35,38,1,0.258
Tommy La Stella,9,52,49,1,0.268
Ke'Bryan Hayes,15,69,66,9,0.266
David Peralta,15,66,64,2,0.269
Ramon Laureano,22,81,69,12,0.245
Nate Lowe,17,58,58,1,0.249
Starling Marte,17,80,66,27,0.276
Paul DeJong,27,79,84,5,0.246
Justin Upton,26,73,74,4,0.231
Clint Frazier,22,73,67,6,0.244
Jared Walsh,20,59,62,1,0.241
Lourdes Gurriel Jr.,24,76,78,7,0.264
Garrett Cooper,9,32,34,0,0.263
Matt Carpenter,13,46,45,2,0.221
Mike Yastrzemski,22,82,77,6,0.239
Jorge Polanco,14,65,57,6,0.268
Didi Gregorius,24,74,82,8,0.262
Austin Slater,7,34,27,6,0.255
Ty France,16,55,57,2,0.251
Eduardo Escobar,21,73,80,3,0.257
Adam Eaton,10,66,49,8,0.259
Dansby Swanson,21,83,77,11,0.257
Edwin Encarnacion,11,26,29,1,0.22
Avisail Garcia,11,44,44,5,0.263
Jedd Gyorko,8,21,23,0,0.236
Kolten Wong,10,69,54,15,0.262
Nick Solak,14,63,56,8,0.261
Byron Buxton,25,81,70,20,0.245
Austin Riley,25,71,81,1,0.248
Luis Campusano,2,7,8,0,0.269
Kyle Seager,24,70,77,4,0.239
Alec Bohm,16,70,69,5,0.265
Nick Senzel,17,74,63,16,0.254
Luis Robert,25,84,78,20,0.249
Corey Dickerson,16,62,66,5,0.267
Starlin Castro,17,60,68,2,0.274
Ryan Mountcastle,19,62,65,3,0.265
Mitch Garver,13,38,39,0,0.228
Tim Locastro,5,38,26,12,0.255
Javier Baez,30,85,96,14,0.258
Andrew Benintendi,12,65,57,10,0.252
Jeimer Candelario,18,68,65,3,0.239
Yoshitomo Tsutsugo,12,36,39,0,0.222
Mike Ford,1,3,3,0,0.232
Renato Nunez,19,51,57,1,0.241
Alexander Kirilloff,10,48,47,3,0.268
Ryan McMahon,21,68,71,3,0.241
Khris Davis,16,36,43,0,0.225
Adam Frazier,10,59,54,7,0.267
Eric Hosmer,21,76,80,6,0.261
Colin Moran,18,61,71,1,0.255
Odubel Herrera,3,13,12,1,0.257
Jean Segura,13,73,66,13,0.276
Kurt Suzuki,9,30,32,1,0.25
Lorenzo Cain,8,65,54,15,0.268
Keibert Ruiz,1,4,4,0,0.273
Buster Posey,8,52,50,2,0.268
Jake Bauers,8,33,29,5,0.234
Jason Heyward,14,63,59,4,0.245
Miguel Cabrera,16,64,67,1,0.258
Jose Martinez,1,6,6,0,0.26
Jordan Luplow,8,29,28,3,0.233
Willy Adames,18,67,65,6,0.244
Matt Joyce,3,14,13,0,0.232
Danny Jansen,13,47,44,2,0.233
David Fletcher,8,75,60,8,0.278
Josh Naylor,12,54,56,3,0.258
