Name,HR,R,RBI,SB,AVG,cluster_num
Mike Trout,44,116,113,11,0.29,4
Mike Moustakas,36,84,97,2,0.253,4
Kris Bryant,25,84,85,3,0.258,4
Michael Conforto,29,89,88,6,0.258,4
Pete Alonso,37,86,100,2,0.248,4
Nicholas Castellanos,29,87,92,3,0.272,4
Rafael Devers,29,89,89,6,0.275,4
Nolan Arenado,33,84,98,2,0.269,4
Randy Arozarena,26,87,81,19,0.267,4
Nelson Cruz,32,76,87,1,0.259,4
Jose Abreu,31,85,96,2,0.276,4
Trea Turner,21,99,79,35,0.287,4
Jose Altuve,22,92,83,14,0.285,4
Jorge Soler,31,78,90,2,0.245,4
Bo Bichette,21,92,79,20,0.286,4
Joey Gallo,38,85,94,6,0.215,4
Ozzie Albies,23,91,86,16,0.28,4
Manny Machado,36,91,107,9,0.271,4
Matt Olson,33,79,89,2,0.234,4
Marcus Semien,25,87,80,10,0.262,4
Matt Chapman,33,83,88,1,0.239,4
A.J. Pollock,27,81,83,11,0.26,4
Franmil Reyes,31,80,94,0,0.252,4
Francisco Lindor,29,91,91,19,0.266,4
Keston Hiura,27,80,87,11,0.257,4
Teoscar Hernandez,34,88,92,9,0.241,4
Miguel Sano,36,84,94,1,0.22,4
Carlos Correa,24,82,86,3,0.257,4
Wil Myers,28,86,84,17,0.242,4
Tim Anderson,22,87,81,21,0.283,4
Javier Baez,30,85,96,14,0.258,4
Juan Soto,35,107,107,11,0.299,4
Gleyber Torres,29,88,87,6,0.274,4
Kyle Tucker,25,90,83,22,0.25,4
Max Muncy,29,84,83,3,0.241,4
Xander Bogaerts,27,90,85,7,0.289,4
Marcell Ozuna,34,93,99,4,0.28,4
Eugenio Suarez,43,99,110,3,0.257,4
Trevor Story,33,102,96,25,0.279,4
Jose Ramirez,33,97,94,24,0.273,4
Fernando Tatis Jr.,36,106,102,25,0.276,4
George Springer,32,95,89,5,0.275,4
Yordan Alvarez,30,82,92,3,0.276,4
Anthony Rendon,29,93,92,2,0.282,4
Aaron Judge,35,90,87,4,0.257,4
