investor_name,bio
Terry Smith,"Terry Smith graduated in History from University College Cardiff in 1974. He worked for Barclays Bank from 1974-83 and became an Associate of the Chartered Institute of Bankers in 1976. He obtained an MBA at The Management College, Henley in 1979. He became a stockbroker with W Greenwell & Co in 1984 and later joined Barclays de Zoete Wedd, holding the position of the top-rated bank analyst in London from 1984-89. In 1990 he became head of UK Company Research at UBS Phillips & Drew, a position from which he was dismissed in 1992 following the publication of his best selling book Accounting for Growth. He joined Collins Stewart shortly after, and became a director in 1996. In 2000 he became Chief Executive and led the management buy-out of Collins Stewart, which was floated on the London Stock Exchange five months later. In 2003 Collins Stewart acquired Tullett Liberty and followed this in 2004 with the acquisition of Prebon Group, creating the world's second largest inter-dealer broker. Collins Stewart and Tullett Prebon were demerged in 2006 with Terry remaining CEO of Tullett Prebon until September 2014. In 2010 he founded Fundsmith where he is CEO and CIO. In 2012 he was appointed a Member of the New Zealand Order of Merit for services to New Zealand-UK relations following the success of his campaign to commemorate the New Zealander, Air Marshal Sir Keith Park. (credit: [https://www.fundsmith.com](https://www.fundsmith.com/))"
Greg Alexander,Greg Alexander runs Conifer Management.  He is the most elusive investor on this dashboard.  I was unable to find a bio on him.
Norbert Lou,"Norbert Lou runs Punch Card Management  He stays out of the public eye, but this is a [link](https://www.valueinvestorsclub.com/member/charlie479/1180) to his Value Investors Club write-ups."
Christopher Bloomstran,"Christopher P. Bloomstran, CFA, is the President and Chief Investment Officer of Semper Augustus Investments Group LLC. Chris has three decades of professional investment experience with a disciplined, value-driven approach to fundamental equity and industry research. Semper Augustus manages concentrated equity portfolios of well-run, well-capitalized businesses with share prices trading below conservative appraisals of intrinsic value.  (credit: https://www.semperaugustus.com/team/christopher-p-bloomstran-cfa)"
Li Lu,"Li Lu is the Founder and Chairman of Himalaya Capital, a value investing firm where he has been managing its principal fund since 1997. Born in China, Li Lu attended Columbia University where he received his BA, JD, and MBA simultaneously. He is a trustee of Columbia University and the California Institute of Technology. Among his various philanthropic pursuits, Li Lu co-founded and is Board Chair of The Asian American Foundation (TAAF), serving the 23 million Asian American and Pacific Islander community in their pursuit of belonging and prosperity, free from discrimination, slander and violence. He is the author of Civilization, Modernization, Value Investing and China and Moving the Mountain: My Life in China. Li Lu was elected to the American Academy of Arts and Sciences in 2020. (credit: https://www.himcap.com/#About)"
Bruce Berkowitz,"Mr. Bruce R. Berkowitz is the Founder and Chief Investment Officer of Fairholme Capital Management, and President and a Director of Fairholme Funds, Inc.  In 2010, Mr. Berkowitz was named as the 2009 Domestic-Stock Fund Manager of the Year by Morningstar as well as the Domestic-Stock Fund Manager of the Decade (2000-2009), also by Morningstar. Most recently, he was named 2013's Money Manager of the Year by Institutional Investor Magazine.  Mr. Berkowitz founded The Fairholme Fund in 1999, and founded Fairholme Capital Management in 1997. Prior to founding Fairholme, Mr. Berkowitz was a Managing Director and Senior Portfolio Manager at Smith Barney, Inc. from 1995 to May 1997, and a Senior Vice President and Portfolio Manager at Lehman Brothers Holdings, Inc.  Mr. Berkowitz received his Bachelor of Arts degree in Economics from the University of Massachusetts at Amherst in 1980.  (credit: https://www.fairholmefunds.com/bruce)"
Warren Buffett,"Known as the ""Oracle of Omaha,"" Warren Buffett is one of the most successful investors of all time.  Buffett runs Berkshire Hathaway, which owns dozens of companies, including insurer Geico, battery maker Duracell and restaurant chain Dairy Queen.  (credit: https://www.forbes.com/profile/warren-buffett)"
Clifford Sosin,"Clifford A. Sosin is the founder and investment manager of CAS Investment Partners. LLC (""CAS""), which he launched in October 2012. Immediately prior to founding CAS, Mr. Sosin was a Director in the Fundamental Investment Group of UBS for five years where he was a senior member of a team analyzing equities and fixed income securities. Prior to UBS, Mr. Sosin was employed as an analyst by Silver Point Capital, a hedge fund which invested in high yield and distressed opportunities, as well as by Houlihan Lokey Howard & Zukin, a leading investment bank best known for its advisory services with respect to companies requiring financial restructuring. Mr. Sosin earned both a B.S. in Engineering (High Honors) and a B.A, in Economics from Swarthmore College.  (credit: https://www.casinvestmentpartners.com/about-us.php)"
Bill Miller,"Bill Miller, CFA is the founder of Miller Value Partners, and currently serves as the Chairman and Chief Investment Officer. Prior to Miller Value Partners, Bill and his partner, Ernie Kiehne, founded Legg Mason Capital Management and served as portfolio managers of the Legg Mason Capital Management Value Trust from its inception in 1982. Bill took over as sole manager in December 1990 and served in this role for the next 20 years.  (credit: https://millervalue.com/about/people/)"
Mohnish Pabrai,"Mohnish Pabrai is the founder and Managing Partner of the Pabrai Investments Funds, the founder and CEO of Dhandho Funds, and the author of The Dhandho Investor and Mosaic: Perspectives on Investing​.  (credit: http://www.chaiwithpabrai.com/)"
