stock_description,pct_of_portfolio,quarterly_action,number_of_shares,share_price_at_qtr_end,total_investment,investor_name,fund_name,stock_ticker,quarter
MSFT - Microsoft Corp.,9.9,Reduce 2.74%,"9,030,036",$239.82,"$2,165,583,000",Terry Smith,Fundsmith,MSFT,2022Q4
PM - Philip Morris Intl.,7.6,Reduce 0.08%,"16,476,088",$101.21,"$1,667,545,000",Terry Smith,Fundsmith,PM,2022Q4
EL - Estee Lauder Cos.,6.4,Reduce 4.64%,"5,679,620",$248.11,"$1,409,171,000",Terry Smith,Fundsmith,EL,2022Q4
IDXX - IDEXX Laboratories,6.4,Reduce 4.89%,"3,443,732",$407.96,"$1,404,905,000",Terry Smith,Fundsmith,IDXX,2022Q4
SYK - Stryker Corp.,6.3,Reduce 0.38%,"5,607,041",$244.49,"$1,370,865,000",Terry Smith,Fundsmith,SYK,2022Q4
ADP - Automatic Data Processing Inc.,6.0,Reduce 0.56%,"5,540,720",$238.86,"$1,323,456,000",Terry Smith,Fundsmith,ADP,2022Q4
MKC - McCormick & Co.,5.9,Reduce 0.07%,"15,495,211",$82.89,"$1,284,398,000",Terry Smith,Fundsmith,MKC,2022Q4
WAT - Waters Corp.,5.8,Reduce 0.09%,"3,689,697",$342.58,"$1,264,016,000",Terry Smith,Fundsmith,WAT,2022Q4
PEP - PepsiCo Inc.,5.5,Reduce 6.82%,"6,657,120",$180.66,"$1,202,675,000",Terry Smith,Fundsmith,PEP,2022Q4
V - Visa Inc.,5.3,Reduce 0.41%,"5,612,145",$207.76,"$1,165,979,000",Terry Smith,Fundsmith,V,2022Q4
MTD - Mettler-Toledo International Inc.,3.7,Reduce 0.10%,"560,900","$1,445.45","$810,753,000",Terry Smith,Fundsmith,MTD,2022Q4
BF.B - Brown-Forman Corp.,3.6,Reduce 0.65%,"12,146,796",$65.68,"$797,802,000",Terry Smith,Fundsmith,BF.B,2022Q4
NKE - NIKE Inc.,3.6,Reduce 0.12%,"6,726,271",$117.01,"$787,041,000",Terry Smith,Fundsmith,NKE,2022Q4
ADBE - Adobe Inc.,3.2,Reduce 0.09%,"2,109,326",$336.53,"$709,851,000",Terry Smith,Fundsmith,ADBE,2022Q4
CHD - Church & Dwight,3.1,Reduce 0.14%,"8,446,572",$80.61,"$680,878,000",Terry Smith,Fundsmith,CHD,2022Q4
GOOGL - Alphabet Inc.,3.1,Reduce 0.09%,"7,626,313",$88.23,"$672,870,000",Terry Smith,Fundsmith,GOOGL,2022Q4
META - Meta Platforms Inc.,3.0,Reduce 0.06%,"5,476,865",$120.34,"$659,086,000",Terry Smith,Fundsmith,META,2022Q4
AMZN - Amazon.com Inc.,2.6,Reduce 0.10%,"6,777,831",$84.00,"$569,338,000",Terry Smith,Fundsmith,AMZN,2022Q4
OTIS - Otis Worldwide Corp.,2.3,Reduce 0.08%,"6,280,677",$78.31,"$491,840,000",Terry Smith,Fundsmith,OTIS,2022Q4
<1% Basket - Multiple Holdings,6.7,,,,,Terry Smith,Fundsmith,<1% Basket,2022Q4
STLA - Stellantis N.V.,29.7,Reduce 4.44%,"17,200,031",$14.20,"$244,240,000",Greg Alexander,Conifer Management,STLA,2022Q4
EQH - Equitable Holdings Inc.,26.5,Reduce 5.00%,"7,600,000",$28.70,"$218,120,000",Greg Alexander,Conifer Management,EQH,2022Q4
BLDR - Builders FirstSource Inc.,15.8,Reduce 20.00%,"2,000,000",$64.88,"$129,760,000",Greg Alexander,Conifer Management,BLDR,2022Q4
LAD - Lithia Motors Inc.,12.5,Buy,"500,000",$204.74,"$102,370,000",Greg Alexander,Conifer Management,LAD,2022Q4
IMXI - International Money Express Inc.,4.7,,"1,600,000",$24.37,"$38,992,000",Greg Alexander,Conifer Management,IMXI,2022Q4
YNDX - Yandex N.V.,4.1,,"5,500,000",$6.11,"$33,630,000",Greg Alexander,Conifer Management,YNDX,2022Q4
GPI - Group 1 Automotive,2.9,Buy,"131,547",$180.37,"$23,727,000",Greg Alexander,Conifer Management,GPI,2022Q4
RMNI - Rimini Street Inc.,2.3,,"4,919,848",$3.81,"$18,745,000",Greg Alexander,Conifer Management,RMNI,2022Q4
COF - Capital One Financial,1.1,,"100,000",$92.96,"$9,296,000",Greg Alexander,Conifer Management,COF,2022Q4
<1% Basket - Multiple Holdings,0.4,,,,,Greg Alexander,Conifer Management,<1% Basket,2022Q4
BRK.A - Berkshire Hathaway CL A,53.0,,349,"$468,710.60","$163,580,000",Norbert Lou,Punch Card Management,BRK.A,2022Q4
ALLY - Ally Financial Inc.,27.6,,"3,489,438",$24.45,"$85,317,000",Norbert Lou,Punch Card Management,ALLY,2022Q4
WGO - Winnebago Industries Inc.,17.0,,"996,573",$52.70,"$52,519,000",Norbert Lou,Punch Card Management,WGO,2022Q4
SWBI - Smith & Wesson Brands,2.4,,"840,038",$8.68,"$7,292,000",Norbert Lou,Punch Card Management,SWBI,2022Q4
BRK.B - Berkshire Hathaway CL B,19.3,Add 0.45%,"229,007",$308.90,"$70,740,000",Christopher Bloomstran,Semper Augustus,BRK.B,2022Q4
BRK.A - Berkshire Hathaway CL A,13.7,Add 4.90%,107,"$468,710.28","$50,152,000",Christopher Bloomstran,Semper Augustus,BRK.A,2022Q4
OLN - Olin Corp.,9.2,Reduce 0.06%,"640,893",$52.94,"$33,929,000",Christopher Bloomstran,Semper Augustus,OLN,2022Q4
NEM - Newmont Corp.,5.9,Add 6.94%,"456,046",$47.20,"$21,525,000",Christopher Bloomstran,Semper Augustus,NEM,2022Q4
MCY - Mercury General Corp.,5.6,Add 4.18%,"596,485",$34.20,"$20,400,000",Christopher Bloomstran,Semper Augustus,MCY,2022Q4
PARA - Paramount Global CL B,4.4,Reduce 7.63%,"947,720",$16.88,"$15,998,000",Christopher Bloomstran,Semper Augustus,PARA,2022Q4
VLO - Valero Energy,4.2,Reduce 0.84%,"120,733",$126.86,"$15,316,000",Christopher Bloomstran,Semper Augustus,VLO,2022Q4
DINO - HF Sinclair Corp.,4.0,Reduce 1.11%,"280,212",$51.89,"$14,540,000",Christopher Bloomstran,Semper Augustus,DINO,2022Q4
KGC - Kinross Gold Corp.,3.9,Reduce 5.47%,"3,536,561",$4.09,"$14,465,000",Christopher Bloomstran,Semper Augustus,KGC,2022Q4
XOM - Exxon Mobil Corp.,3.1,Reduce 16.43%,"102,245",$110.30,"$11,278,000",Christopher Bloomstran,Semper Augustus,XOM,2022Q4
DG - Dollar General,3.0,Reduce 0.15%,"43,997",$246.24,"$10,834,000",Christopher Bloomstran,Semper Augustus,DG,2022Q4
CMI - Cummins Inc.,2.8,Add 0.13%,"41,615",$242.29,"$10,083,000",Christopher Bloomstran,Semper Augustus,CMI,2022Q4
